FileName,Frame,PixelCount
0X100009310A3BD7FC.avi,46,1348
0X100009310A3BD7FC.avi,61,543
0X1002E8FBACD08477.avi,3,1225
0X1002E8FBACD08477.avi,18,680
0X1005D03EED19C65B.avi,24,842
0X1005D03EED19C65B.avi,35,472
0X10075961BC11C88E.avi,91,1109
0X10075961BC11C88E.avi,108,705
0X10094BA0A028EAC3.avi,137,2070
0X10094BA0A028EAC3.avi,156,1677
0X100CF05D141FF143.avi,132,1339
0X100CF05D141FF143.avi,148,805
0X100E3B8D3280BEC5.avi,25,1293
0X100E3B8D3280BEC5.avi,38,961
0X100E491B3CD58DE2.avi,49,1347
0X100E491B3CD58DE2.avi,75,1055
0X100F044876B98F90.avi,56,1234
0X100F044876B98F90.avi,72,631
0X101026B90DAE7E95.avi,45,1736
0X101026B90DAE7E95.avi,62,1190
0X1012703CDC1436FE.avi,154,2303
0X1012703CDC1436FE.avi,172,1676
0X1013E8A4864781B.avi,35,552
0X1013E8A4864781B.avi,46,258
0X1018521A3BC5CDBA.avi,42,1227
0X1018521A3BC5CDBA.avi,57,745
0X101C388397F66EDB.avi,46,1832
0X101C388397F66EDB.avi,62,1013
0X101CFC9C5351DCBE.avi,59,1680
0X101CFC9C5351DCBE.avi,73,1043
0X101E654AF3FC07A8.avi,109,796
0X101E654AF3FC07A8.avi,132,409
0X10267ADF2E644E0.avi,150,1194
0X10267ADF2E644E0.avi,172,622
0X102AE9C68B2C46DA.avi,48,902
0X102AE9C68B2C46DA.avi,63,553
0X102C51641C321436.avi,0,1761
0X102C51641C321436.avi,15,1139
0X102CFB07F752AAE6.avi,163,1514
0X102CFB07F752AAE6.avi,184,1025
0X102DD1B9BE03716.avi,52,1884
0X102DD1B9BE03716.avi,71,1184
0X102E453603FA1440.avi,46,1997
0X102E453603FA1440.avi,60,1004
0X102E94908346DE1D.avi,116,1073
0X102E94908346DE1D.avi,138,761
0X102F3D4CD5E10801.avi,0,1642
0X102F3D4CD5E10801.avi,22,1082
0X10365E52F01510B4.avi,28,1541
0X10365E52F01510B4.avi,36,898
0X1039108E17193B1C.avi,60,1954
0X1039108E17193B1C.avi,79,1170
0X1039B49145DF4F25.avi,40,998
0X1039B49145DF4F25.avi,57,599
0X103A55B2546EF36E.avi,166,1563
0X103A55B2546EF36E.avi,186,957
0X103BE163257D663A.avi,47,978
0X103BE163257D663A.avi,69,614
0X1040C376CF369A01.avi,52,975
0X1040C376CF369A01.avi,64,534
0X1040D64234D3E916.avi,90,1528
0X1040D64234D3E916.avi,108,818
0X1043D3D352972862.avi,91,1236
0X1043D3D352972862.avi,113,846
0X1045F1B5A0A5EA54.avi,57,1043
0X1045F1B5A0A5EA54.avi,73,712
0X104D2C3D60AE3DE8.avi,145,2871
0X104D2C3D60AE3DE8.avi,163,1503
0X105039B849CDB1CD.avi,55,1547
0X105039B849CDB1CD.avi,73,873
0X10516E63208D8EA1.avi,51,1538
0X10516E63208D8EA1.avi,66,918
0X1055D6B76E5D7556.avi,75,898
0X1055D6B76E5D7556.avi,90,546
0X10569E00E4DFFF7D.avi,36,941
0X10569E00E4DFFF7D.avi,53,371
0X1059077339EF0869.avi,90,1463
0X1059077339EF0869.avi,116,789
0X105B9EF57DE45DCB.avi,106,1975
0X105B9EF57DE45DCB.avi,121,1359
0X105CDF495F9A9A43.avi,71,1430
0X105CDF495F9A9A43.avi,89,879
0X105D400DBDB7A1FA.avi,78,1859
0X105D400DBDB7A1FA.avi,96,1100
0X105E0E36E611D657.avi,69,1931
0X105E0E36E611D657.avi,86,1324
0X10623D3AF96AC271.avi,34,3296
0X10623D3AF96AC271.avi,52,1525
0X1062E316DF137FDB.avi,123,986
0X1062E316DF137FDB.avi,140,488
0X10648BFB1458861.avi,30,1732
0X10648BFB1458861.avi,39,1201
0X106766224781FAE2.avi,47,1211
0X106766224781FAE2.avi,65,728
0X106A8FDB8A83534B.avi,60,1321
0X106A8FDB8A83534B.avi,72,732
0X106B384BEED608E3.avi,68,1584
0X106B384BEED608E3.avi,83,815
0X106E73F4961CC47B.avi,88,1229
0X106E73F4961CC47B.avi,104,708
0X106EA7D9DEC59EA9.avi,96,1499
0X106EA7D9DEC59EA9.avi,110,996
0X106FE6CF624D4C8C.avi,55,1656
0X106FE6CF624D4C8C.avi,74,1011
0X1070ABA581A9A255.avi,41,1177
0X1070ABA581A9A255.avi,58,708
0X107458C8895A9AC9.avi,96,1004
0X107458C8895A9AC9.avi,110,605
0X1082BF2A3762D881.avi,44,1521
0X1082BF2A3762D881.avi,67,1146
0X1088B755BC61AF23.avi,42,1052
0X1088B755BC61AF23.avi,52,492
0X108B163EEADDDABC.avi,40,1367
0X108B163EEADDDABC.avi,55,838
0X108B4B26B48E417B.avi,65,912
0X108B4B26B48E417B.avi,76,607
0X1093398DC18FB3B3.avi,53,2656
0X1093398DC18FB3B3.avi,75,1416
0X1096572D64654BBD.avi,76,827
0X1096572D64654BBD.avi,93,522
0X1098A9CCA66A5DD0.avi,38,1278
0X1098A9CCA66A5DD0.avi,53,809
0X109D27B0A540F9F6.avi,51,1126
0X109D27B0A540F9F6.avi,64,678
0X10A28877E97DF540.avi,69,1814
0X10A28877E97DF540.avi,87,991
0X10A5FC19152B50A5.avi,112,1879
0X10A5FC19152B50A5.avi,125,998
0X10A8ADB48536C3D5.avi,88,1770
0X10A8ADB48536C3D5.avi,97,1543
0X10A9B17E26220232.avi,61,1215
