FileName,ESV_corrected,ESC_corrected_frame,EDV_corrected,EDV_corrected_frame,PixelDifference,TotalFrames
0X100009310A3BD7FC.avi,854,61,1744,46,890,2
0X1002E8FBACD08477.avi,960,18,1593,3,633,2
0X1005D03EED19C65B.avi,728,35,1166,24,438,2
0X10075961BC11C88E.avi,997,108,1445,91,448,2
0X10094BA0A028EAC3.avi,2077,156,2514,137,437,2
0X100CF05D141FF143.avi,1117,148,1719,132,602,2
0X100E3B8D3280BEC5.avi,1273,38,1657,25,384,2
0X100E491B3CD58DE2.avi,1403,75,1739,49,336,2
0X100F044876B98F90.avi,972,72,1622,56,650,2
0X101026B90DAE7E95.avi,1589,62,2180,45,591,2
0X1012703CDC1436FE.avi,2092,172,2765,154,673,2
0X1013E8A4864781B.avi,520,46,828,35,308,2
0X1018521A3BC5CDBA.avi,1021,57,1583,42,562,2
0X101C388397F66EDB.avi,1373,62,2272,46,899,2
0X101CFC9C5351DCBE.avi,1415,73,2107,59,692,2
0X101E654AF3FC07A8.avi,641,132,1088,109,447,2
0X10267ADF2E644E0.avi,902,172,1566,150,664,2
0X102AE9C68B2C46DA.avi,895,63,1222,48,327,2
0X102C51641C321436.avi,1471,15,2149,0,678,2
0X102CFB07F752AAE6.avi,1369,184,1926,163,557,2
0X102DD1B9BE03716.avi,1552,71,2316,52,764,2
0X102E453603FA1440.avi,1332,60,2433,46,1101,2
0X102E94908346DE1D.avi,1069,138,1421,116,352,2
0X102F3D4CD5E10801.avi,1414,22,2042,0,628,2
0X10365E52F01510B4.avi,1242,36,1929,28,687,2
0X1039108E17193B1C.avi,1558,79,2426,60,868,2
0X1039B49145DF4F25.avi,875,57,1318,40,443,2
0X103A55B2546EF36E.avi,1305,186,1967,166,662,2
0X103BE163257D663A.avi,918,69,1330,47,412,2
0X1040C376CF369A01.avi,806,64,1303,52,497,2
0X1040D64234D3E916.avi,1148,108,1919,90,771,2
0X1043D3D352972862.avi,1154,113,1584,91,430,2
0X1045F1B5A0A5EA54.avi,1036,73,1399,57,363,2
0X104D2C3D60AE3DE8.avi,1903,163,3391,145,1488,2
0X105039B849CDB1CD.avi,1197,73,1951,55,754,2
0X10516E63208D8EA1.avi,1279,66,1944,51,665,2
0X1055D6B76E5D7556.avi,818,90,1206,75,388,2
0X10569E00E4DFFF7D.avi,609,53,1261,36,652,2
0X1059077339EF0869.avi,1122,116,1863,90,741,2
0X105B9EF57DE45DCB.avi,1747,121,2411,106,664,2
0X105CDF495F9A9A43.avi,1219,89,1826,71,607,2
0X105D400DBDB7A1FA.avi,1456,96,2303,78,847,2
0X105E0E36E611D657.avi,1708,86,2375,69,667,2
0X10623D3AF96AC271.avi,1905,52,3868,34,1963,2
0X1062E316DF137FDB.avi,768,140,1327,123,559,2
0X10648BFB1458861.avi,1585,39,2164,30,579,2
0X106766224781FAE2.avi,1036,65,1579,47,543,2
0X106A8FDB8A83534B.avi,1012,72,1681,60,669,2
0X106B384BEED608E3.avi,1123,83,1980,68,857,2
0X106E73F4961CC47B.avi,992,104,1581,88,589,2
0X106EA7D9DEC59EA9.avi,1332,110,1887,96,555,2
0X106FE6CF624D4C8C.avi,1331,74,2056,55,725,2
0X1070ABA581A9A255.avi,1008,58,1533,41,525,2
0X107458C8895A9AC9.avi,905,110,1350,96,445,2
0X1082BF2A3762D881.avi,1490,67,1913,44,423,2
0X1088B755BC61AF23.avi,768,52,1396,42,628,2
0X108B163EEADDDABC.avi,1150,55,1759,40,609,2
0X108B4B26B48E417B.avi,889,76,1228,65,339,2
0X1093398DC18FB3B3.avi,1808,75,3160,53,1352,2
0X1096572D64654BBD.avi,809,93,1139,76,330,2
0X1098A9CCA66A5DD0.avi,1125,53,1650,38,525,2
0X109D27B0A540F9F6.avi,974,64,1470,51,496,2
0X10A28877E97DF540.avi,1327,87,2242,69,915,2
0X10A5FC19152B50A5.avi,1355,125,2327,112,972,2
0X10A8ADB48536C3D5.avi,1939,97,2178,88,239,2
0X10A9B17E26220232.avi,950,80,1591,61,641,2
0X10ABB3401FC5EC2D.avi,1119,71,1932,51,813,2
0X10AD385C206C85C.avi,946,145,1196,133,250,2
0X10B04432B90E5AC2.avi,1120,83,1692,66,572,2
0X10B063E16BA7BEE3.avi,1767,107,2153,96,386,2
0X10B13E581B12A53C.avi,799,53,1225,39,426,2
0X10B7505562B0A702.avi,1183,77,1784,61,601,2
0X10BC6AA53115AA06.avi,1516,61,2282,42,766,2
0X10BD75A3203C3BB9.avi,1185,66,1778,50,593,2
0X10BDFD27E27D56A9.avi,1048,20,1570,1,522,2
0X10BFDDD409BA5A7A.avi,1066,57,1735,43,669,2
0X10C2D4AA0721C0FB.avi,1200,166,1984,149,784,2
0X10C3E084B3ABE52A.avi,1109,20,1722,4,613,2
0X10C4823DD13E1869.avi,1969,67,3039,49,1070,2
0X10C53B6D1D01A54A.avi,1735,112,2877,91,1142,2
0X10CA19FBE6D26A71.avi,1227,70,2011,53,784,2
0X10D11D93FB71B19C.avi,1497,118,2524,103,1027,2
0X10D1B5DDEBC0E3C8.avi,1204,41,1740,31,536,2
0X10D278E3FD2DE072.avi,1100,99,1920,82,820,2
0X10D5F8CF0EB124.avi,1628,132,1878,110,250,2
0X10D734CBEB6ECB81.avi,1001,13,1267,5,266,2
0X10D8F5659B144070.avi,869,71,1178,57,309,2
0X10DEF75CF6DC6B84.avi,1276,134,1913,116,637,2
0X10E197789006C3D5.avi,1115,126,1886,111,771,2
0X10E47D630E15DE12.avi,2279,108,2833,87,554,2
0X10E57E24DBA5788.avi,2040,61,2392,45,352,2
0X10E60C3C123CAEB8.avi,919,85,1484,58,565,2
0X10EFC1D17C7FB199.avi,837,195,1212,179,375,2
0X10F04F8DFB86BAEE.avi,1521,62,2014,43,493,2
0X10F6FD4A9C6A458E.avi,1560,66,2785,46,1225,2
0X10FCACE551DE0CEB.avi,872,68,1534,50,662,2
0X11000DD0D10B399F.avi,1025,71,1599,57,574,2
0X1100A0AA0BDBAE92.avi,976,68,1427,49,451,2
0X1106795368C7DE44.avi,1534,49,2447,38,913,2
0X1108EED6EC60971E.avi,1087,70,1789,51,702,2
0X110A2E1C465B1B53.avi,1092,119,1754,103,662,2
0X11109B2A42A4C76E.avi,1835,135,2563,123,728,2
0X11116A740B44446A.avi,1340,112,1994,94,654,2
0X1112442D58D48C79.avi,1431,72,2423,61,992,2
0X11199500C4901088.avi,1174,19,1600,3,426,2
0X111D3734D84AA8B8.avi,1208,125,1885,109,677,2
0X111E2E3AD9EB4317.avi,1612,19,2758,4,1146,2
0X111EDA8A1E44169C.avi,966,110,1446,97,480,2
0X1123724D7C9FAF61.avi,900,59,1343,42,443,2
0X1124D3D938A98B7B.avi,1177,72,1838,58,661,2
0X112505A983BB4D8E.avi,764,114,1214,101,450,2
0X112668E4C7655E1A.avi,749,93,1125,76,376,2
0X112862331B7E140E.avi,1674,58,3013,37,1339,2
0X1128628F2CE14FF4.avi,1143,108,1424,87,281,2
0X1129FFF0D45D7EFF.avi,2006,69,3306,53,1300,2
0X112B93363FA20D8B.avi,1146,49,1571,31,425,2
0X112D0A3D2ACB8800.avi,1672,149,2774,128,1102,2
0X112E05F05062753E.avi,1508,64,2228,44,720,2
0X112EF236E1F676E4.avi,1669,87,2609,64,940,2
0X112F1A9C7DF4A5F2.avi,1560,146,2547,121,987,2
0X11303E45952732BD.avi,1319,113,1928,88,609,2
0X113195610E41EF2.avi,1112,70,1702,54,590,2
0X1131FB2A374D34F5.avi,1051,86,1531,59,480,2
0X1134CC5B50757EEF.avi,1498,78,2161,64,663,2
0X113E6AD75AB62781.avi,1040,133,1397,121,357,2
0X113E9F83E605C0F5.avi,928,59,1438,50,510,2
